Timestamp,Floor_point,Re-ID
2020-04-10 00:00:34.733333,"[227.0, 195.0]",12
2020-04-10 00:00:34.733333,"[417.0, 193.0]",2
2020-04-10 00:00:34.733333,"[424.0, 332.0]",5
2020-04-10 00:00:34.733333,"[384.0, 163.0]",3
2020-04-10 00:00:35.400000,"[471.0, 279.0]",11
2020-04-10 00:00:35.400000,"[383.0, 160.0]",3
2020-04-10 00:00:35.400000,"[415.0, 207.0]",4
2020-04-10 00:00:35.400000,"[230.0, 189.0]",12
2020-04-10 00:00:35.400000,"[431.0, 324.0]",10
2020-04-10 00:00:36.066667,"[383.0, 162.0]",3
2020-04-10 00:00:36.066667,"[445.0, 317.0]",5
2020-04-10 00:00:36.066667,"[430.0, 259.0]",4
2020-04-10 00:00:36.066667,"[249.0, 190.0]",12
2020-04-10 00:00:36.066667,"[414.0, 345.0]",10
2020-04-10 00:00:36.733333,"[384.0, 162.0]",3
2020-04-10 00:00:36.733333,"[254.0, 186.0]",12
2020-04-10 00:00:36.733333,"[445.0, 319.0]",5
2020-04-10 00:00:36.733333,"[430.0, 257.0]",4
2020-04-10 00:00:37.400000,"[470.0, 273.0]",11
2020-04-10 00:00:37.400000,"[384.0, 161.0]",3
2020-04-10 00:00:37.400000,"[424.0, 241.0]",4
2020-04-10 00:00:37.400000,"[436.0, 327.0]",5
2020-04-10 00:00:37.400000,"[257.0, 195.0]",12
2020-04-10 00:00:38.066667,"[470.0, 275.0]",11
2020-04-10 00:00:38.066667,"[384.0, 163.0]",3
2020-04-10 00:00:38.066667,"[165.0, 562.0]",10
2020-04-10 00:00:38.066667,"[256.0, 195.0]",12
2020-04-10 00:00:38.066667,"[416.0, 341.0]",5
2020-04-10 00:00:38.066667,"[431.0, 263.0]",4
2020-04-10 00:00:38.733333,"[382.0, 161.0]",3
2020-04-10 00:00:38.733333,"[250.0, 188.0]",12
2020-04-10 00:00:38.733333,"[431.0, 261.0]",4
2020-04-10 00:00:39.400000,"[340.0, 406.0]",5
2020-04-10 00:00:39.400000,"[393.0, 363.0]",5
2020-04-10 00:00:39.400000,"[384.0, 161.0]",3
2020-04-10 00:00:39.400000,"[251.0, 194.0]",12
2020-04-10 00:00:39.400000,"[433.0, 263.0]",4
2020-04-10 00:00:40.066667,"[297.0, 444.0]",5
2020-04-10 00:00:40.066667,"[430.0, 255.0]",4
2020-04-10 00:00:40.066667,"[401.0, 356.0]",5
2020-04-10 00:00:40.066667,"[251.0, 197.0]",12
2020-04-10 00:00:40.066667,"[383.0, 161.0]",3
2020-04-10 00:00:40.733333,"[469.0, 274.0]",11
2020-04-10 00:00:40.733333,"[430.0, 256.0]",4
2020-04-10 00:00:40.733333,"[400.0, 357.0]",5
2020-04-10 00:00:40.733333,"[251.0, 194.0]",12
2020-04-10 00:00:40.733333,"[383.0, 162.0]",3
2020-04-10 00:00:41.400000,"[431.0, 259.0]",4
2020-04-10 00:00:41.400000,"[383.0, 161.0]",3
2020-04-10 00:00:41.400000,"[400.0, 357.0]",5
2020-04-10 00:00:41.400000,"[258.0, 194.0]",12
2020-04-10 00:00:42.066667,"[185.0, 533.0]",5
2020-04-10 00:00:42.066667,"[384.0, 161.0]",3
2020-04-10 00:00:42.066667,"[432.0, 263.0]",4
2020-04-10 00:00:42.066667,"[258.0, 192.0]",12
2020-04-10 00:00:42.733333,"[402.0, 356.0]",5
2020-04-10 00:00:42.733333,"[185.0, 535.0]",5
2020-04-10 00:00:42.733333,"[385.0, 164.0]",3
2020-04-10 00:00:42.733333,"[252.0, 194.0]",12
2020-04-10 00:00:42.733333,"[432.0, 264.0]",4
2020-04-10 00:00:43.400000,"[469.0, 273.0]",11
2020-04-10 00:00:43.400000,"[400.0, 356.0]",5
2020-04-10 00:00:43.400000,"[451.0, 310.0]",7
2020-04-10 00:00:43.400000,"[386.0, 164.0]",3
2020-04-10 00:00:43.400000,"[432.0, 265.0]",4
2020-04-10 00:00:43.400000,"[249.0, 188.0]",5
2020-04-10 00:00:44.066667,"[463.0, 239.0]",11
2020-04-10 00:00:44.066667,"[252.0, 189.0]",5
2020-04-10 00:00:44.066667,"[432.0, 266.0]",4
2020-04-10 00:00:44.066667,"[386.0, 164.0]",3
2020-04-10 00:00:44.733333,"[374.0, 374.0]",7
2020-04-10 00:00:44.733333,"[400.0, 357.0]",5
2020-04-10 00:00:44.733333,"[380.0, 169.0]",3
2020-04-10 00:00:44.733333,"[432.0, 267.0]",4
2020-04-10 00:00:45.400000,"[385.0, 170.0]",3
2020-04-10 00:00:45.400000,"[400.0, 359.0]",5
2020-04-10 00:00:45.400000,"[432.0, 268.0]",4
2020-04-10 00:00:46.066667,"[385.0, 142.0]",3
2020-04-10 00:00:46.066667,"[431.0, 266.0]",4
2020-04-10 00:00:46.066667,"[395.0, 361.0]",5
2020-04-10 00:00:46.733333,"[292.0, 451.0]",10
2020-04-10 00:00:46.733333,"[250.0, 190.0]",2
2020-04-10 00:00:46.733333,"[384.0, 143.0]",3
2020-04-10 00:00:46.733333,"[461.0, 294.0]",10
2020-04-10 00:00:46.733333,"[432.0, 266.0]",4
2020-04-10 00:00:46.733333,"[381.0, 370.0]",5
2020-04-10 00:00:47.400000,"[412.0, 151.0]",2
2020-04-10 00:00:47.400000,"[388.0, 175.0]",3
2020-04-10 00:00:47.400000,"[432.0, 327.0]",5
2020-04-10 00:00:47.400000,"[348.0, 398.0]",10
2020-04-10 00:00:47.400000,"[449.0, 293.0]",8
2020-04-10 00:00:47.400000,"[380.0, 378.0]",5
2020-04-10 00:00:48.066667,"[378.0, 150.0]",3
2020-04-10 00:00:48.066667,"[407.0, 157.0]",2
2020-04-10 00:00:48.066667,"[377.0, 378.0]",5
2020-04-10 00:00:48.066667,"[381.0, 350.0]",10
2020-04-10 00:00:48.066667,"[441.0, 255.0]",8
2020-04-10 00:00:48.066667,"[442.0, 320.0]",5
2020-04-10 00:00:48.733333,"[283.0, 189.0]",2
2020-04-10 00:00:48.733333,"[409.0, 166.0]",2
2020-04-10 00:00:48.733333,"[381.0, 137.0]",3
2020-04-10 00:00:48.733333,"[394.0, 361.0]",10
2020-04-10 00:00:48.733333,"[376.0, 378.0]",5
2020-04-10 00:00:48.733333,"[443.0, 257.0]",8
2020-04-10 00:00:48.733333,"[434.0, 324.0]",5
2020-04-10 00:00:49.400000,"[377.0, 163.0]",3
2020-04-10 00:00:49.400000,"[408.0, 163.0]",2
2020-04-10 00:00:49.400000,"[254.0, 457.0]",5
2020-04-10 00:00:49.400000,"[399.0, 358.0]",10
2020-04-10 00:00:49.400000,"[380.0, 374.0]",5
2020-04-10 00:00:49.400000,"[442.0, 258.0]",8
2020-04-10 00:00:49.400000,"[437.0, 324.0]",5
2020-04-10 00:00:50.066667,"[442.0, 256.0]",8
2020-04-10 00:00:50.066667,"[391.0, 335.0]",10
2020-04-10 00:00:50.066667,"[395.0, 180.0]",2
2020-04-10 00:00:50.066667,"[251.0, 181.0]",2
2020-04-10 00:00:50.066667,"[149.0, 577.0]",5
2020-04-10 00:00:50.066667,"[190.0, 437.0]",5
2020-04-10 00:00:50.066667,"[368.0, 169.0]",3
2020-04-10 00:00:50.733333,"[385.0, 337.0]",10
2020-04-10 00:00:50.733333,"[443.0, 319.0]",5
2020-04-10 00:00:50.733333,"[344.0, 174.0]",3
2020-04-10 00:00:50.733333,"[390.0, 367.0]",5
2020-04-10 00:00:50.733333,"[375.0, 176.0]",2
2020-04-10 00:00:50.733333,"[249.0, 184.0]",2
2020-04-10 00:00:51.400000,"[150.0, 570.0]",5
2020-04-10 00:00:51.400000,"[453.0, 312.0]",5
2020-04-10 00:00:51.400000,"[155.0, 435.0]",13
2020-04-10 00:00:51.400000,"[253.0, 183.0]",2
2020-04-10 00:00:51.400000,"[333.0, 181.0]",3
2020-04-10 00:00:51.400000,"[367.0, 171.0]",2
2020-04-10 00:00:52.066667,"[127.0, 586.0]",5
2020-04-10 00:00:52.066667,"[149.0, 572.0]",5
2020-04-10 00:00:52.066667,"[202.0, 523.0]",5
2020-04-10 00:00:52.066667,"[446.0, 323.0]",5
2020-04-10 00:00:52.066667,"[381.0, 324.0]",10
2020-04-10 00:00:52.066667,"[253.0, 182.0]",2
2020-04-10 00:00:52.066667,"[361.0, 169.0]",2
2020-04-10 00:00:52.066667,"[391.0, 363.0]",5
2020-04-10 00:00:52.066667,"[331.0, 176.0]",3
2020-04-10 00:00:52.733333,"[363.0, 372.0]",10
2020-04-10 00:00:52.733333,"[390.0, 364.0]",5
2020-04-10 00:00:52.733333,"[249.0, 183.0]",2
2020-04-10 00:00:52.733333,"[437.0, 323.0]",5
2020-04-10 00:00:52.733333,"[333.0, 178.0]",3
2020-04-10 00:00:52.733333,"[367.0, 171.0]",2
2020-04-10 00:00:53.400000,"[444.0, 328.0]",5
2020-04-10 00:00:53.400000,"[399.0, 359.0]",10
2020-04-10 00:00:53.400000,"[248.0, 186.0]",2
2020-04-10 00:00:53.400000,"[362.0, 170.0]",2
2020-04-10 00:00:53.400000,"[333.0, 175.0]",3
2020-04-10 00:00:53.400000,"[308.0, 435.0]",10
2020-04-10 00:00:54.066667,"[298.0, 193.0]",2
2020-04-10 00:00:54.066667,"[132.0, 412.0]",1
2020-04-10 00:00:54.066667,"[250.0, 187.0]",2
2020-04-10 00:00:54.066667,"[333.0, 175.0]",3
2020-04-10 00:00:54.066667,"[361.0, 169.0]",2
2020-04-10 00:00:54.733333,"[144.0, 404.0]",1
2020-04-10 00:00:54.733333,"[333.0, 176.0]",3
2020-04-10 00:00:54.733333,"[251.0, 187.0]",2
2020-04-10 00:00:54.733333,"[361.0, 170.0]",2
2020-04-10 00:00:55.400000,"[140.0, 375.0]",1
2020-04-10 00:00:55.400000,"[436.0, 327.0]",5
2020-04-10 00:00:55.400000,"[250.0, 183.0]",3
2020-04-10 00:00:55.400000,"[361.0, 168.0]",2
2020-04-10 00:00:55.400000,"[333.0, 175.0]",3
2020-04-10 00:00:56.066667,"[314.0, 56.0]",2
2020-04-10 00:00:56.066667,"[446.0, 319.0]",5
2020-04-10 00:00:56.066667,"[252.0, 191.0]",5
2020-04-10 00:00:56.066667,"[360.0, 168.0]",2
2020-04-10 00:00:56.066667,"[334.0, 175.0]",3
2020-04-10 00:00:56.733333,"[322.0, 50.0]",2
2020-04-10 00:00:56.733333,"[254.0, 191.0]",2
2020-04-10 00:00:56.733333,"[361.0, 165.0]",2
2020-04-10 00:00:56.733333,"[333.0, 173.0]",3
2020-04-10 00:00:57.400000,"[438.0, 323.0]",5
2020-04-10 00:00:57.400000,"[331.0, 33.0]",2
2020-04-10 00:00:57.400000,"[442.0, 313.0]",5
2020-04-10 00:00:57.400000,"[333.0, 173.0]",3
2020-04-10 00:00:57.400000,"[361.0, 168.0]",2
2020-04-10 00:00:57.400000,"[246.0, 185.0]",12
2020-04-10 00:00:58.066667,"[442.0, 320.0]",5
2020-04-10 00:00:58.066667,"[213.0, 185.0]",12
2020-04-10 00:00:58.066667,"[452.0, 298.0]",5
2020-04-10 00:00:58.066667,"[335.0, 41.0]",2
2020-04-10 00:00:58.066667,"[334.0, 174.0]",4
2020-04-10 00:00:58.066667,"[361.0, 167.0]",2
2020-04-10 00:00:58.066667,"[414.0, 347.0]",5
2020-04-10 00:00:58.733333,"[410.0, 347.0]",5
2020-04-10 00:00:58.733333,"[456.0, 309.0]",5
2020-04-10 00:00:58.733333,"[340.0, 51.0]",2
2020-04-10 00:00:58.733333,"[356.0, 174.0]",2
2020-04-10 00:00:58.733333,"[335.0, 176.0]",3
2020-04-10 00:00:59.400000,"[455.0, 304.0]",4
2020-04-10 00:00:59.400000,"[353.0, 175.0]",2
2020-04-10 00:00:59.400000,"[337.0, 175.0]",3
2020-04-10 00:00:59.400000,"[346.0, 86.0]",2
2020-04-10 00:01:00.066667,"[356.0, 175.0]",2
2020-04-10 00:01:00.066667,"[347.0, 81.0]",2
2020-04-10 00:01:00.066667,"[335.0, 176.0]",3
2020-04-10 00:01:00.733333,"[184.0, 101.0]",2
2020-04-10 00:01:00.733333,"[454.0, 311.0]",5
2020-04-10 00:01:00.733333,"[356.0, 174.0]",2
2020-04-10 00:01:00.733333,"[345.0, 77.0]",2
2020-04-10 00:01:00.733333,"[334.0, 176.0]",3
2020-04-10 00:01:00.733333,"[149.0, 397.0]",14
2020-04-10 00:01:01.400000,"[333.0, 80.0]",2
2020-04-10 00:01:01.400000,"[133.0, 436.0]",14
2020-04-10 00:01:01.400000,"[367.0, 171.0]",2
2020-04-10 00:01:01.400000,"[334.0, 178.0]",3
2020-04-10 00:01:02.066667,"[149.0, 571.0]",5
2020-04-10 00:01:02.066667,"[310.0, 54.0]",2
2020-04-10 00:01:02.066667,"[373.0, 177.0]",2
2020-04-10 00:01:02.066667,"[334.0, 180.0]",3
2020-04-10 00:01:02.733333,"[363.0, 172.0]",2
2020-04-10 00:01:02.733333,"[333.0, 178.0]",3
2020-04-10 00:01:03.400000,"[296.0, 179.0]",2
2020-04-10 00:01:03.400000,"[332.0, 174.0]",3
2020-04-10 00:01:03.400000,"[358.0, 179.0]",2
2020-04-10 00:01:04.066667,"[282.0, 193.0]",2
2020-04-10 00:01:04.066667,"[360.0, 181.0]",2
2020-04-10 00:01:04.066667,"[328.0, 186.0]",4
2020-04-10 00:01:04.733333,"[147.0, 573.0]",5
2020-04-10 00:01:04.733333,"[255.0, 184.0]",2
2020-04-10 00:01:04.733333,"[301.0, 175.0]",2
